,scientific_name,park_name,observations,category,common_names,conservation_status
21609,Ditrichum pallidum,Bryce National Park,121,Nonvascular Plant,Pale Ditrichum Moss,
21610,Portulaca oleracea,Great Smoky Mountains National Park,93,Vascular Plant,Common Purslane,
21611,Solidago hispida,Bryce National Park,117,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod",
21612,Mimulus inconspicuus,Great Smoky Mountains National Park,69,Vascular Plant,Smallflower Monkeyflower,
21613,Pseudacris triseriata,Yellowstone National Park,272,Amphibian,"Striped Chorus Frog, Western Chorus Frog",
21614,Helianthus bolanderi,Yellowstone National Park,267,Vascular Plant,Serpentine Sunflower,
21615,Euphorbia pubentissima,Yosemite National Park,148,Vascular Plant,Dogbane-Leaved Spurge,
21616,Ribes rubrum,Bryce National Park,100,Vascular Plant,Cultivated Currant,
21617,Ovis canadensis,Great Smoky Mountains National Park,48,Mammal,"Bighorn Sheep, Bighorn Sheep",Species of Concern
21618,Gentiana linearis,Bryce National Park,92,Vascular Plant,"Linear-Leaved Gentian, Narrow-Leaved Gentian",
21619,Stachys albens,Bryce National Park,61,Vascular Plant,"White Hedgenettle, Whitestem Hedgenettle",
21620,Muhlenbergia schreberi,Yellowstone National Park,266,Vascular Plant,"Drop-Seed, Schreber Muhly",
21621,Stellaria umbellata,Bryce National Park,59,Vascular Plant,"Umbellate Chickweed, Umbrella Starwort",
21622,Diodia teres,Yellowstone National Park,266,Vascular Plant,Rough Buttonweed,
21623,Tamias quadrimaculatus,Great Smoky Mountains National Park,62,Mammal,Long-Eared Chipmunk,
21624,Lonicera tatarica,Bryce National Park,109,Vascular Plant,"Bush Honeysuckle, Tatarian Honeysuckle",
21625,Trifolium microcephalum,Yosemite National Park,171,Vascular Plant,"Littlehead Clover, Smallhead Clover, Small-Head Clover",
21626,Tympanuchus phasianellus,Bryce National Park,53,Bird,Sharp-Tailed Grouse,
21627,Lesquerella alpina var. alpina,Great Smoky Mountains National Park,40,Vascular Plant,Alpine Bladderpod,
21628,Vaccinium corymbosum,Yosemite National Park,150,Vascular Plant,Tall Woodland Blueberry,
21629,Micropterus salmoides,Great Smoky Mountains National Park,100,Fish,Largemouth Bass,
21630,Cuscuta californica var. californica,Bryce National Park,71,Vascular Plant,"California Dodder, Chaparral Dodder",
21631,Solidago puberula,Yellowstone National Park,267,Vascular Plant,"Downy Goldenrod, Hairy Goldenrod",
21632,Hydrangea radiata,Yellowstone National Park,245,Vascular Plant,"Snowy Hydrangea, White-Leaf Hydrangea",
21633,Solidago juncea,Yellowstone National Park,249,Vascular Plant,Early Goldenrod,
21634,Galium sparsiflorum ssp. sparsiflorum,Yosemite National Park,145,Vascular Plant,Sequoia Bedstraw,
21635,Cyperus retrofractus,Bryce National Park,83,Vascular Plant,Rough Flatsedge,
21636,Panicum anceps,Great Smoky Mountains National Park,89,Vascular Plant,Panic Grass,
21637,Castilleja lemmonii,Yellowstone National Park,219,Vascular Plant,"Lemmon's Indian Paintbrush, Lemmon's Paintbrush",
21638,Lysimachia quadrifolia,Yellowstone National Park,285,Vascular Plant,Whorled Loosestrife,
21639,Larus californicus,Bryce National Park,87,Bird,California Gull,
21640,Allium obtusum var. conspicuum,Yellowstone National Park,244,Vascular Plant,Red Sierra Onion,
21641,Collinsia childii,Yellowstone National Park,253,Vascular Plant,Child's Blue Eyed Mary,
21642,Silene latifolia ssp. alba,Great Smoky Mountains National Park,64,Vascular Plant,Bladder Campion,
21643,Bidens tripartita,Yellowstone National Park,288,Vascular Plant,"Stick-Tight, Three-Lobe Beggar-Ticks",
21644,Streptopus amplexifolius,Great Smoky Mountains National Park,73,Vascular Plant,"Clasping Twistedstalk, Claspleaf Twistedstalk, Twisted Stalk",
21645,Salix caroliniana,Great Smoky Mountains National Park,53,Vascular Plant,Carolina Willow,
21646,Allophyllum divaricatum,Great Smoky Mountains National Park,57,Vascular Plant,Purple False Gilyflower,
21647,Carex,Great Smoky Mountains National Park,66,Vascular Plant,"Carex, Sedge, Sedge Species, Sedges",
21648,Calypogeja muelleriana ssp. blomquistii,Great Smoky Mountains National Park,71,Nonvascular Plant,Blomquist's Calypogeja,
21649,Amelanchier alnifolia var. pumila,Bryce National Park,130,Vascular Plant,Dwarf Serviceberry,
21650,Potentilla hippiana var. hippiana,Bryce National Park,95,Vascular Plant,Woolly Cinquefoil,
21651,Sternotherus minor peltifer,Bryce National Park,155,Reptile,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",
21652,Lasthenia californica,Yosemite National Park,137,Vascular Plant,"California Goldfields, Goldfields",
21653,Sisymbrium officinale,Bryce National Park,124,Vascular Plant,"Hairy-Pod Hedgemustard, Hedge-Mustard",
21654,Rhexia mariana var. mariana,Yosemite National Park,183,Vascular Plant,Maryland Meadowbeauty,
21655,Poa bulbosa,Great Smoky Mountains National Park,83,Vascular Plant,"Bulbous Blue Grass, Bulbous Bluegrass",
21656,Senecio scorzonella,Great Smoky Mountains National Park,56,Vascular Plant,"Sierra Groundsel, Sierra Ragwort",
21657,Tiarella cordifolia,Great Smoky Mountains National Park,87,Vascular Plant,"Heartleaf Foamflower, Heart-Leaved Foam-Flower",
21658,Pityopsis graminifolia var. graminifolia,Yosemite National Park,149,Vascular Plant,Grass-Leaved Golden Aster,
21659,Ribes lacustre,Great Smoky Mountains National Park,71,Vascular Plant,Prickly Currant,
21660,Salix eriocephala,Great Smoky Mountains National Park,91,Vascular Plant,"Missouri River Willow, Missouri Willow",
21661,Anaphalis margaritacea,Bryce National Park,134,Vascular Plant,"Common Pearlyeverlasting, Pearly Everlasting, Pearly-Everlasting, Western Pearly Everlasting, Western Pearlyeverlasting",
21662,Tragopogon pratensis,Yellowstone National Park,258,Vascular Plant,"Yellow Goat's-Beard, Yellow Goatsbeard",
21663,Erigeron elmeri,Bryce National Park,130,Vascular Plant,Elmer's Erigeron,
21664,Silphium trifoliatum var. trifoliatum,Yosemite National Park,156,Vascular Plant,Whorled Rosinweed,
21665,Gallinago gallinago,Yosemite National Park,166,Bird,Common Snipe,
21666,Triglochin palustre,Yosemite National Park,160,Vascular Plant,Slender Arrow-Grass,
21667,Falco mexicanus,Bryce National Park,116,Bird,Prairie Falcon,Species of Concern
21668,Tragopogon dubius,Bryce National Park,88,Vascular Plant,"Common Salsify, Goat's Beard, Goatsbeard, Meadow Goat's-Beard, Salsifis Majeur, Salsify, Western Goat's Beard, Western Salsify, Wild Oysterplant, Yellow Goat's Beard, Yellow Salsify",
21669,Athyrium filix-femina ssp. asplenioides,Yosemite National Park,151,Vascular Plant,Southern Lady Fern,
21670,Cardamine diphylla,Great Smoky Mountains National Park,70,Vascular Plant,"Toothwort, Two-Leaf Toothwort",
21671,Lilium parvum,Yosemite National Park,144,Vascular Plant,"Sierra Tiger Lily, Sierra Tigerlily",
21672,Lycopus rubellus,Great Smoky Mountains National Park,65,Vascular Plant,Taperleaf Waterhorehound,
21673,Actaea rubra,Yellowstone National Park,219,Vascular Plant,"Red Baneberry, Western Baneberry",
21674,Gentianella tenella,Yellowstone National Park,260,Vascular Plant,"Dane's Dwarf Gentian, Dane's Dwarfgentian, Lapland Gentian",
21675,Solidago rugosa ssp. aspera,Great Smoky Mountains National Park,90,Vascular Plant,Rough-Stemmed Goldenrod,
21676,Clematis virginiana,Yellowstone National Park,248,Vascular Plant,"Virginia Virgin-Bower, Virgin's Bower",
21677,Poa alsodes,Yosemite National Park,139,Vascular Plant,"Grove Meadow Grass, Wood Bluegrass",
21678,Lupinus albicaulis,Great Smoky Mountains National Park,65,Vascular Plant,Sicklekeel Lupine,
21679,Atriplex argentea,Bryce National Park,83,Vascular Plant,"Silverscale, Silverscale Saltbush, Silverscale Saltweed",
21680,Artemisia ludoviciana ssp. mexicana,Yellowstone National Park,224,Vascular Plant,White Sage,
21681,Verbena urticifolia,Great Smoky Mountains National Park,55,Vascular Plant,White Vervain,
21682,Carex diandra,Yellowstone National Park,222,Vascular Plant,"Lesser Panicled Sedge, Lesser Tussock Sedge",
21683,Odocoileus hemionus,Bryce National Park,72,Mammal,"Mule Deer, Mule Deer",
21684,Pylaisiella intricata,Great Smoky Mountains National Park,63,Nonvascular Plant,Intricate Pylaisiella Moss,
21685,Cornus sericea ssp. sericea,Yosemite National Park,185,Vascular Plant,"Redosier Dogwood, Siberian Dogwood, Tatarian Dogwood",
21686,Silene latifolia ssp. alba,Bryce National Park,137,Vascular Plant,Bladder Campion,
21687,Galium bolanderi,Great Smoky Mountains National Park,76,Vascular Plant,Bolander's Bedstraw,
21688,Lupinus covillei,Bryce National Park,106,Vascular Plant,Shaggy Lupine,
21689,Helianthus atrorubens,Yellowstone National Park,233,Vascular Plant,"Purple-Disk Sunflower, Sunflower",
21690,Tragopogon pratensis,Yosemite National Park,148,Vascular Plant,"Yellow Goat's-Beard, Yellow Goatsbeard",
21691,Homomallium adnatum,Yellowstone National Park,237,Nonvascular Plant,Homomallium Moss,
21692,Nemacladus interior,Yosemite National Park,181,Vascular Plant,Sierra Threadplant,
21693,Syringa vulgaris,Bryce National Park,141,Vascular Plant,Common Lilac,
21694,Verbena lasiostachys var. lasiostachys,Yosemite National Park,194,Vascular Plant,Western Vervain,
21695,Antennaria dimorpha,Yellowstone National Park,259,Vascular Plant,"Low Everlasting, Low Pussytoes",
21696,Orobanche californica ssp. grayana,Bryce National Park,93,Vascular Plant,Gray's Broomrape,
21697,Cephalozia bicuspidata ssp. lammersiana,Bryce National Park,114,Nonvascular Plant,Lammers' Cephalozia,
21698,Vireo olivaceus,Yellowstone National Park,220,Bird,Red-Eyed Vireo,
21699,Symphyotrichum boreale,Yosemite National Park,139,Vascular Plant,Northern Bog Aster,
21700,Cyanocitta cristata,Yosemite National Park,144,Bird,Blue Jay,
21701,Achnatherum occidentale ssp. californicum,Yosemite National Park,174,Vascular Plant,California Needlegrass,
21702,Phacelia dubia var. dubia,Bryce National Park,100,Vascular Plant,Smallflower Scorpionweed,
21703,Seiurus aurocapilla,Yosemite National Park,136,Bird,Ovenbird,
21704,Pinus pungens,Bryce National Park,98,Vascular Plant,Table Mountain Pine,
21705,Scutellaria elliptica var. hirsuta,Yosemite National Park,119,Vascular Plant,Hairy Skullcap,
21706,Allophyllum gilioides ssp. violaceum,Yellowstone National Park,275,Vascular Plant,"Dense False Gilia, Dense False Gilyflower",
21707,Eurybia surculosa,Yellowstone National Park,226,Vascular Plant,Creeping Aster,
21708,Obolaria virginica,Yosemite National Park,144,Vascular Plant,"Pennywort, Virginia Pennywort",
21709,Setaria viridis,Bryce National Park,110,Vascular Plant,"Green Bristle Grass, Green Foxtail",
21710,Lonicera flava,Great Smoky Mountains National Park,106,Vascular Plant,Yellow Honeysuckle,
21711,Thamnophis sirtalis sirtalis,Bryce National Park,108,Reptile,Common Garter Snake,
21712,Plethodon,Yellowstone National Park,250,Amphibian,Woodland Salamanders,
21713,Neotamias amoenus,Yosemite National Park,171,Mammal,Yellow Pine Chipmunk,
21714,Juncus brevicaudatus,Great Smoky Mountains National Park,59,Vascular Plant,"Narrow-Panicled Rush, Short-Caudate Rush",
21715,Rorippa curvipes var. curvipes,Yosemite National Park,158,Vascular Plant,"Bluntleaf Yellowcress, Blunt-Leaf Yellowcress",
21716,Hesperochiron pumilus,Great Smoky Mountains National Park,62,Vascular Plant,Dwarf Hesperochiron,
21717,Heterotheca camporum,Yosemite National Park,147,Vascular Plant,Lemonyellow Falsegoldenaster,
21718,Tetrodontium brownianum,Great Smoky Mountains National Park,112,Nonvascular Plant,Brown's Tetrodontium Moss,
21719,Desmognathus imitator,Great Smoky Mountains National Park,65,Amphibian,Imitator Salamander,
21720,Napaeozapus insignis,Yosemite National Park,120,Mammal,Woodland Jumping Mouse,
21721,Leucothoe davisiae,Yosemite National Park,166,Vascular Plant,Sierra Laurel,
21722,Arabis rectissima var. rectissima,Yosemite National Park,183,Vascular Plant,Bristlyleaf Rockcress,
21723,Artemisiospiza nevadensis,Bryce National Park,104,Bird,Sagebrush Sparrow,
21724,Corallorhiza maculata,Great Smoky Mountains National Park,86,Vascular Plant,"Spotted Coralroot, Summer Coralroot",
21725,Cervus elaphus,Yosemite National Park,176,Mammal,Wapiti Or Elk,
21726,Dichanthelium acuminatum var. acuminatum,Great Smoky Mountains National Park,62,Vascular Plant,Tapered Rosette Grass,Species of Concern
21727,Brassica rapa,Great Smoky Mountains National Park,105,Vascular Plant,"Bird's Rape, Rape Mustard",
21728,Carex incurviformis var. danaensis,Yellowstone National Park,278,Vascular Plant,Coastal Sand Sedge,
21729,Silene bridgesii,Great Smoky Mountains National Park,41,Vascular Plant,Bridges' Catchfly,
21730,Calycanthus floridus var. floridus,Yosemite National Park,137,Vascular Plant,Eastern Sweetshrub,
21731,Cheilanthes covillei,Yosemite National Park,163,Vascular Plant,"Coville's Lip Fern, Coville's Lipfern",
21732,Antennaria flagellaris,Bryce National Park,92,Vascular Plant,"Stoloniferous Pussy-Toes, Whip Pussytoes",
21733,Brachythecium oxycladon,Yosemite National Park,149,Nonvascular Plant,Brachythecium Moss,
21734,Aneura pinguis,Great Smoky Mountains National Park,89,Nonvascular Plant,Aneura,
21735,Aletris farinosa,Bryce National Park,79,Vascular Plant,"Colic Root, White-Tubed Colicroot",
21736,Oclemena acuminata,Great Smoky Mountains National Park,74,Vascular Plant,Whorled Wood Aster,
21737,Gallinago delicata,Great Smoky Mountains National Park,91,Bird,Wilson's Snipe,
21738,Collinsia torreyi var. torreyi,Yosemite National Park,136,Vascular Plant,"Torrey's Blue Eyed Mary, Torrey's Blue-Eyed Mary",
21739,Syringa vulgaris,Yosemite National Park,140,Vascular Plant,Common Lilac,
21740,Vireo cassinii,Great Smoky Mountains National Park,75,Bird,Cassin's Vireo,
21741,Magnolia grandiflora,Great Smoky Mountains National Park,86,Vascular Plant,"Large-Flower Magnolia, Southern Magnolia",
21742,Chen caerulescens,Yosemite National Park,193,Bird,Snow Goose,
21743,Erythronium umbilicatum ssp. umbilicatum,Bryce National Park,95,Vascular Plant,Dimpled Troutlily,
21744,Anas platyrhynchos,Great Smoky Mountains National Park,66,Bird,Mallard,
21745,Brotherella recurvans,Bryce National Park,134,Nonvascular Plant,Recurved Brotherella Moss,
21746,Oxalis corniculata,Yellowstone National Park,223,Vascular Plant,Creeping Woodsorrel,
21747,Glyceria melicaria,Great Smoky Mountains National Park,35,Vascular Plant,"Slender Manna Grass, Wood Mannagrass",
21748,Melica spectabilis,Yellowstone National Park,250,Vascular Plant,Purple Oniongrass,
21749,Sialia sialis,Yosemite National Park,190,Bird,Eastern Bluebird,
21750,Astragalus purshii var. purshii,Bryce National Park,115,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",
21751,Mimulus mephiticus,Bryce National Park,71,Vascular Plant,"Foul Odor Monkeyflower, Foul-Odor Monkeyflower",
21752,Lycopodium hickeyi,Yellowstone National Park,254,Vascular Plant,Ground Pine,
21753,Schoenoplectus americanus,Great Smoky Mountains National Park,70,Vascular Plant,"American Bulrush, Chairmaker's Bulrush, Olney Bulrush, Schoenoplectus",
21754,Brachythecium salebrosum,Yellowstone National Park,256,Nonvascular Plant,Brachythecium Moss,
21755,Cyperus croceus,Yosemite National Park,179,Vascular Plant,Round-Headed Umbrella Sedge,
21756,Orthilia secunda,Yellowstone National Park,246,Vascular Plant,"One-Sided Wintergreen, Sidebells Wintergreen",
21757,Woodwardia areolata,Yosemite National Park,133,Vascular Plant,"Netted Chain Fern, Netted Chainfern",
21758,Navarretia divaricata ssp. vividior,Bryce National Park,67,Vascular Plant,Divaricate Navarretia,
21759,Ceryle torquata,Great Smoky Mountains National Park,73,Bird,Ringed Kingfisher,
21760,Piperia unalascensis,Yosemite National Park,133,Vascular Plant,"Alaska Bog Orchid, Alaska Rein Orchid, Alaskan Rein-Orchid, Slender-Spire Orchid",
21761,Packera cana,Bryce National Park,66,Vascular Plant,Woolly Groundsel,
21762,Leonurus cardiaca,Bryce National Park,77,Vascular Plant,"Common Mother-Wort, Motherwort",
21763,Downingia montana,Bryce National Park,94,Vascular Plant,Sierra Calicoflower,
21764,Collinsia torreyi var. torreyi,Bryce National Park,104,Vascular Plant,"Torrey's Blue Eyed Mary, Torrey's Blue-Eyed Mary",
21765,Pylodictis olivaris,Yosemite National Park,143,Fish,Flathead Catfish,
21766,Potamogeton strictifolius,Yellowstone National Park,263,Vascular Plant,"Narrowleaf Pondweed, Straight-Leaf Pondweed",
21767,Campanula divaricata,Yellowstone National Park,230,Vascular Plant,Southern Harebell,
21768,Prunus americana,Great Smoky Mountains National Park,95,Vascular Plant,"American Plum, Wild Plum",
21769,Carex bromoides,Yosemite National Park,137,Vascular Plant,"A Sedge, Sedge",
21770,Rudbeckia fulgida var. umbrosa,Yellowstone National Park,217,Vascular Plant,Orange Coneflower,
21771,Corallorhiza wisteriana,Yellowstone National Park,258,Vascular Plant,"Coral Root, Spring Coralroot",
21772,Bryum capillare,Yellowstone National Park,266,Nonvascular Plant,Bryum Moss,
21773,Ranunculus uncinatus,Yellowstone National Park,248,Vascular Plant,"Hooked Buttercup, Woodland Buttercup",
21774,Geothlypis tolmiei,Yosemite National Park,202,Bird,Macgillivray's Warbler,
21775,Crepis occidentalis ssp. costata,Bryce National Park,131,Vascular Plant,Largeflower Hawksbeard,
21776,Clethrionomys gapperi gapperi,Yosemite National Park,117,Mammal,Gapper's Red-Backed Vole,
21777,Asclepias syriaca,Great Smoky Mountains National Park,78,Vascular Plant,"Common Milkweed, Kansas Milkweed",
21778,Sitta pygmaea,Great Smoky Mountains National Park,63,Bird,Pygmy Nuthatch,
21779,Etheostoma rufilineatum,Yosemite National Park,126,Fish,Redline Darter,
21780,Cymopterus cinerarius,Yosemite National Park,144,Vascular Plant,Gray Springparsley,
21781,Verbena lasiostachys var. lasiostachys,Great Smoky Mountains National Park,59,Vascular Plant,Western Vervain,
21782,Rorippa palustris,Bryce National Park,133,Vascular Plant,Yellowcress,
21783,Boykinia aconitifolia,Yellowstone National Park,262,Vascular Plant,Brook Saxifrage,
21784,Adiantum aleuticum,Yosemite National Park,152,Vascular Plant,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",
21785,Dianthus barbatus,Yellowstone National Park,250,Vascular Plant,"Sweet William, Sweet-William",
21786,Lepidium campestre,Yellowstone National Park,258,Vascular Plant,"Cow-Cress, Field Pepper-Grass",
21787,Crataegus iracunda,Yosemite National Park,108,Vascular Plant,Stolonbearing Hawthorn,
21788,Cottus bairdi,Bryce National Park,133,Fish,Mottled Sculpin,
21789,Bazzania nudicaulis,Bryce National Park,135,Nonvascular Plant,Bazzania,Species of Concern
21790,Coccyzus erythropthalmus,Yellowstone National Park,220,Bird,Black-Billed Cuckoo,Species of Concern
21791,Carex brunnescens ssp. sphaerostachya,Yosemite National Park,179,Vascular Plant,"Brownish Sedge, Few Flowered Sedge",
21792,Arnica rydbergii,Yellowstone National Park,250,Vascular Plant,"Rydberg's Arnica, Subalpine Arnica",
21793,Bassia hyssopifolia,Yosemite National Park,156,Vascular Plant,"Fivehook Bassia, Fivehorn Smotherweed, Smotherweed",
21794,Ursus americanus,Yosemite National Park,161,Mammal,Black Bear,
21795,Liatris squarrulosa,Yosemite National Park,188,Vascular Plant,"Appalachian Gayfeather, Earle's Blazing Star",
21796,Clematis ochroleuca,Bryce National Park,118,Vascular Plant,Curlyheads,
21797,Carex austrocaroliniana,Yosemite National Park,163,Vascular Plant,"A Sedge, South Carolina Sedge",
21798,Sphagnum compactum,Yellowstone National Park,233,Nonvascular Plant,Low Sphagnum,
21799,Carex diandra,Yosemite National Park,130,Vascular Plant,"Lesser Panicled Sedge, Lesser Tussock Sedge",
21800,Gentianella tenella ssp. tenella,Yellowstone National Park,218,Vascular Plant,"Dane's Dwarf Gentian, Dane's Dwarfgentian",
21801,Narthecium californicum,Bryce National Park,110,Vascular Plant,California Bog Asphodel,
21802,Etheostoma zonale,Yosemite National Park,133,Fish,Banded Darter,
21803,Carex spectabilis,Bryce National Park,64,Vascular Plant,Showy Sedge,
21804,Mertensia ciliata,Yosemite National Park,129,Vascular Plant,"Mountain Bluebells, Shortstyle Bluebells, Tall Fringe Bluebells, Tall Fringed Bluebells",
21805,Carex scopulorum,Great Smoky Mountains National Park,89,Vascular Plant,"Holm's Rocky Mountain Sedge, Mountain Sedge",
21806,Cardamine oligosperma,Yosemite National Park,154,Vascular Plant,"Idaho Bittercress, Little Western Bittercress",
21807,Carex atlantica ssp. atlantica,Great Smoky Mountains National Park,93,Vascular Plant,Sedge,
21808,Lupinus breweri var. grandiflorus,Yosemite National Park,157,Vascular Plant,Matted Lupine,
21809,Crataegus calpodendron,Great Smoky Mountains National Park,108,Vascular Plant,"Limestone Hawthorn, Pear Hawthorn",
21810,Castilleja applegatei ssp. pallida,Yellowstone National Park,270,Vascular Plant,Wavyleaf Indian Paintbrush,
21811,Claytonia caroliniana,Bryce National Park,106,Vascular Plant,"Carolina Spring-Beauty, Spring-Beauty",
21812,Tamiasciurus douglasii,Yellowstone National Park,219,Mammal,Chickaree,
21813,Delphinium bicolor ssp. bicolor,Yellowstone National Park,230,Vascular Plant,Little Larkspur,
21814,Stellaria pubera,Great Smoky Mountains National Park,77,Vascular Plant,"Giant Chickweed, Star Chickweed",
21815,Thalictrum dioicum,Bryce National Park,148,Vascular Plant,Early Meadowrue,
21816,Lemna valdiviana,Great Smoky Mountains National Park,63,Vascular Plant,"Duckweed, Pale Duckweed",
21817,Deparia acrostichoides,Yosemite National Park,152,Vascular Plant,"Silvery Glade Fern, Silvery Spleenwort",
21818,Cryphaea nervosa,Yellowstone National Park,243,Nonvascular Plant,Cryphaea Moss,
21819,Viola canadensis var. canadensis,Yellowstone National Park,276,Vascular Plant,Canadian Violet,
21820,Batrachoseps diabolicus,Great Smoky Mountains National Park,86,Amphibian,Hell Hollow Slender Salamander,
21821,Nemophila breviflora,Yellowstone National Park,291,Vascular Plant,"Baby Blueeyes, Basin Nemophila, Great Basin Blue-Eyes",
21822,Gilia capillaris,Yosemite National Park,130,Vascular Plant,"Miniature Gilia, Smoothleaf Gilia",
21823,Danthonia intermedia,Great Smoky Mountains National Park,95,Vascular Plant,Timber Oatgrass,
21824,Empidonax hammondii,Yosemite National Park,153,Bird,Hammond's Flycatcher,
21825,Brassica rapa,Bryce National Park,78,Vascular Plant,"Bird's Rape, Rape Mustard",
21826,Asplenium trichomanes ssp. trichomanes,Yosemite National Park,177,Vascular Plant,Maidenhair Spleenwort,
21827,Crepis intermedia,Yellowstone National Park,229,Vascular Plant,"Gray Hawksbeard, Limestone Hawksbeard",
21828,Hedwigia ciliata,Bryce National Park,118,Nonvascular Plant,Ciliate Hedwigia Moss,
21829,Chasmanthium laxum var. sessiliflorum,Yosemite National Park,176,Vascular Plant,Slender Woodoats,
21830,Thelypteris noveboracensis,Yosemite National Park,177,Vascular Plant,New York Fern,
21831,Arctostaphylos viscida ssp. mariposa,Great Smoky Mountains National Park,93,Vascular Plant,Mariposa Manzanita,
21832,Carex tahoensis,Yellowstone National Park,285,Vascular Plant,Tahoe Sedge,
21833,Photinia melanocarpa,Great Smoky Mountains National Park,56,Vascular Plant,Black Chokeberry,
21834,Hygrohypnum molle,Bryce National Park,87,Nonvascular Plant,Hygrohypnum Moss,
21835,Lycoris radiata,Yellowstone National Park,245,Vascular Plant,Magic Lily,
21836,Rubus glaucifolius,Yellowstone National Park,240,Vascular Plant,San Diego Raspberry,
21837,Lepidium densiflorum var. densiflorum,Great Smoky Mountains National Park,56,Vascular Plant,"Common Pepperweed, Miner's Pepperwort",
21838,Agoseris glauca var. glauca,Yosemite National Park,169,Vascular Plant,Pale Agoseris,
21839,Selaginella watsonii,Yosemite National Park,138,Vascular Plant,"Alpine Spikemoss, Watson's Spikemoss",
21840,Ptychomitrium incurvum,Yosemite National Park,128,Nonvascular Plant,Ptychomitrium Moss,
21841,Calamagrostis stricta,Great Smoky Mountains National Park,65,Vascular Plant,"Narrowspike Reedgrass, Slim-Stem Reed Grass, Slimstem Reedgrass",
21842,Castilleja applegatei ssp. pinetorum,Yosemite National Park,136,Vascular Plant,Wavyleaf Indian Paintbrush,
21843,Potamogeton gramineus,Bryce National Park,128,Vascular Plant,"Grassy Pondweed, Variableleaf Pondweed",
21844,Bryum lisae,Yosemite National Park,142,Nonvascular Plant,Bryum Moss,
21845,Leucodon brachypus var. andrewsianus,Great Smoky Mountains National Park,61,Nonvascular Plant,Andrews' Lecodon Moss,
21846,Danthonia sericea,Yellowstone National Park,218,Vascular Plant,"Downy Oat Grass, Silky Oat-Grass",
21847,Viola canadensis var. canadensis,Great Smoky Mountains National Park,83,Vascular Plant,Canadian Violet,
21848,Euthamia occidentalis,Yosemite National Park,128,Vascular Plant,"Western Goldenrod, Western Goldentop",
21849,Carduus pycnocephalus,Great Smoky Mountains National Park,122,Vascular Plant,"Compact-Headed Thistle, Italian Plumeless Thistle, Italian Thistle",
21850,Nycticorax nycticorax,Yosemite National Park,144,Bird,Black-Crowned Night-Heron,Species of Concern
21851,Asplenium trichomanes ssp. trichomanes,Great Smoky Mountains National Park,62,Vascular Plant,Maidenhair Spleenwort,
21852,Phacelia purpusii,Bryce National Park,113,Vascular Plant,Purpus' Phacelia,
21853,Trichophorum caespitosus,Yellowstone National Park,239,Vascular Plant,Deerhair Bulrush,
21854,Aronia arbutifolia,Great Smoky Mountains National Park,59,Vascular Plant,"Hairy Chokeberry, Red Chokeberry",
21855,Gaura filipes,Yosemite National Park,145,Vascular Plant,Slenderstalk Beeblossom,
21856,Phalaenoptilus nuttallii,Great Smoky Mountains National Park,58,Bird,Common Poorwill,
21857,Festuca ovina,Yellowstone National Park,250,Vascular Plant,Ovina Fescue,
21858,Aphanes microcarpa,Bryce National Park,86,Vascular Plant,Alchemilla,
21859,Viburnum rafinesquianum,Yosemite National Park,166,Vascular Plant,"Downy Arrowwood, Downy Arrow-Wood",
21860,Plegadis chihi,Yellowstone National Park,255,Bird,White-Faced Ibis,Species of Concern
21861,Sturnus vulgaris,Bryce National Park,75,Bird,European Starling,
21862,Chasmanthium latifolium,Yellowstone National Park,249,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",
21863,Cyperus pseudovegetus,Yosemite National Park,159,Vascular Plant,Marsh Flatsedge,
21864,Dicentra cucullaria,Yosemite National Park,142,Vascular Plant,"Dutchman's Breeches, Dutchman's Britches",
21865,Neotoma macrotis streatori,Great Smoky Mountains National Park,77,Mammal,Big-Eared Woodrat,
21866,Calochortus luteus,Yellowstone National Park,234,Vascular Plant,Yellow Mariposa Lily,
21867,Polemonium micranthum,Yellowstone National Park,256,Vascular Plant,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",
21868,Salix humilis,Yellowstone National Park,251,Vascular Plant,Prairie Willow,
21869,Erigeron foliosus var. hartwegii,Bryce National Park,53,Vascular Plant,Hartweg's Fleabane,
21870,Sanicula odorata,Yellowstone National Park,294,Vascular Plant,"Sanicle, Black Snakeroot",
21871,Climacium americanum,Bryce National Park,99,Nonvascular Plant,American Climacium Moss,
21872,Castilleja attenuata,Great Smoky Mountains National Park,77,Vascular Plant,"Attenuate Indian Paintbrush, Indian Paintbrush",
21873,Robinia viscosa,Bryce National Park,92,Vascular Plant,Clammy Locust,
21874,Platanthera flava var. flava,Yosemite National Park,149,Vascular Plant,Palegreen Orchid,
21875,Desmognathus conanti,Great Smoky Mountains National Park,48,Amphibian,Spotted Dusky Salamander,
21876,Lupinus fulcratus,Yellowstone National Park,253,Vascular Plant,Greenstipule Lupine,
21877,Euonymus obovata,Yosemite National Park,140,Vascular Plant,Running Strawberry Bush,
21878,Fritillaria pinetorum,Yosemite National Park,119,Vascular Plant,"Davidson's Fritillary, Pinewoods Fritillary",
